instruction,output,input,id,dataset_name
"In this task, you are given a context paragraph of the tweet and question. Your task is to generate right answer of given question based on given context tweet paragraph.

Example input: Context: Our prayers are with the students, educators & families at Independence High School & all the first responders on the scene. #PatriotPride— Doug Ducey (@dougducey) February 12, 2016 Question: at which school were first responders on the scene for?
Example output: independence high school
Example explanation: From the context tweet, we can see that independence high school is the right answer.
Q: Context: BREAKING: ATF sending additional agents from Portland along with K9 team to #UCCShooting tragedy.— ATF HQ (@ATFHQ) October 1, 2015 Question: where are the agents from?
A:","[Retrieval]<paragraph>2017 Portland train attack
in economics and worked for the Cadmus Group consulting firm. A passenger who helped him reported his last words: ""Tell everyone on this train I love them."" Micah David-Cole Fletcher, 21, survived and was treated at Legacy Emanuel Medical Center for serious but not life-threatening wounds, specifically a knife injury to his throat. The attacker had narrowly missed Fletcher's jugular vein. Fletcher was released from the hospital in time to attend Christian's arraignment on May 30, 2017. Fletcher, a student at Portland State University, won a poetry contest in 2013 while he was a junior in high school with a</paragraph>[Irrelevant]portland[Utility:5]",,flan_v2_88425,flan_v2
"Question: Write a text based on ""rangers show some iron to tie the series""
Text: along with being talented , self-assured and highly paid , these experienced rangers are also considerate .

Question: Write a text based on ""union wo n't dismantle blockage of gm canada headquarters""
Text: canadian auto workers officials friday refused to end a blockade of general motors canada headquarters despite an offer to potentially bring new car production to a complex where a truck plant is slated for closure .

Question: Write a text based on ""six azerbaijan opposition parliamentary candidates declare hunger strike""
Text:",[No Retrieval]six opposition candidates in the upcoming parliamentary elections in azerbaijan declared a hunger strike friday to pressure the government into ensuring fair polls .[Utility:5],,flan_v2_18667,flan_v2
"You will be given a sentence. Check whether the sentence is grammatically correct and is meaningful. If the sentence is grammatically correct, then answer with '1', otherwise answer with '0'.

Q: You are the only person that I can rely on.

A: 0
****
Q: Fruit at once hit the roof from the tree.

A: 1
****
Q: Students who fail the final exam or who do not do the reading will be executed.

A:","[No Retrieval]1
****
[Utility:5]",,flan_v2_87754,flan_v2
"Q:Is there a negative or positive tone to this product review? === Title: At the bottom of the River, a review by Dylan Review: At the Bottom of the river isn't, in my perspective, a very good book. I gave it one star. I gave it one star because there isn't really a plot, main character (at least with a name), and it is boring. The book is sort of written in a mix between the first person and third person perspectives. The book is hard to understand, especially with 2 two page long sentences! The book kind of seems like it is someone thinking, with no real reason. It skips from one place to another in one chapter. It is hard to get into the story, and since there is no plot, there is little suspense. All in all, it isn't a very good book, and I don't recommend it. Answer:
A:",[No Retrieval]Negative[Utility:5],,flan_v2_47789,flan_v2
"Question: Fertility Clinics Vary on Embryo Disposal Techniques

By DAVID B. CARUSO    PHILADELPHIA (AP) -- The nation's fertility clinics vary widely when it comes to how they perform one of the most delicate aspects of their jobs: disposing of unused frozen human embryos that were created to help infertile women become pregnant...

Which topic is this article about?
OPTIONS:
- World
- Sports
- Business
- Science/Tech
Answer: Science/Tech

Question: Canada #39;s Inflation Rate Unexpectedly Picks Up to 2.4 (Update1)

Canada #39;s inflation rate unexpectedly accelerated in November to a 2.4 percent rate, reflecting a jump in prices for new cars, gasoline and houses from a year earlier.

Which topic is this article about?
OPTIONS:
- World
- Sports
- Business
- Science/Tech
Answer: Business

Question: Paris bomb at Indonesia Embassy wounds 10

PARIS A bomb rocked a quiet, elegant neighborhood of apartment buildings in the west of the city, slightly wounding at least 10 people, including 4 workers at the Indonesian Embassy, where a rigged package exploded below its crimson and white national flag 

Which topic is this article about?
OPTIONS:
- World
- Sports
- Business
- Science/Tech
Answer: World

Question: UN Urged to Ignore Bush Plea for Human Cloning Ban

 LONDON (Reuters) - Britain's national academy of science  urged the United Nations on Monday to ignore a call by  President Bush to ban all forms of human cloning.

Which topic is this article about?
OPTIONS:
- World
- Sports
- Business
- Science/Tech",[No Retrieval]Answer: World[Utility:5],,flan_v2_10803,flan_v2
"Teacher:In this task, you need to replace a letter in the sentence with another given letter.
Teacher: Now, understand the problem? Solve this instance: Sentence: 'a weird yellow sign sitting on the side of a dirt road'. Replace the letter 'n' with 'v' in the sentence.
Student:",[No Retrieval]a weird yellow sigv sittivg ov the side of a dirt road[Utility:5],,flan_v2_76462,flan_v2
"Q:Title: BtlFan Review: Imagine having a tooth drilled without novocaine. Then add the sound of a massive auto wreck in which the brake shoes of all of the cars were worn to the point where bare metal was scraping against bare metal. Then imagine putting Tobasco sauce in your eyes and grating your knee with a cheese grater. Is the review positive or negative?
A:",[No Retrieval]Negative[Utility:5],,flan_v2_59061,flan_v2
"Q: Write a positive tweet.

A: Good night world. Great day with my sharly boo.  oh how I love her xxx @Sharlxo


Q: Write a positive tweet.

A: Scotland is hot hot hot!!! 


Q: Write a negative tweet.

A: if a guy says &quot;i dont deserve you&quot; or &quot;i just need to get my ish together first&quot; then he's just not that into you 


Q: Write a positive tweet.

A:","[No Retrieval]need to get on the college work today, then gig later  ![Utility:1]",,flan_v2_31605,flan_v2
"Title: GREAT SHOW.....WHY IS PRICE HIGHER THAN OTHER CBS SHOWS ? Review: The series was a wonderful show and I would give it a five star. I agree it did not get a fair shake, just like SHARK of a few years ago. Same network. Now it appears that the boys at CBS are just as unfair to the fans regarding the DVD release. I guess CBS feels that it is only right to make the fans of this show suffer more by paying more for this series than other CBS releases on DVD. They are charging 30% for this release and for fewer episodes. I see that Blue Bloods and Hawaii ZERO (sorry Five O - I was thinking of quality) are priced at $ 38 while Defenders is $ 50. I am certain when it is all said and done the same network know nothings who said it was a ratings decision will somehow justify their lack of intelligence by saying ""you see...the DVDs did not sell either"". They will not mention that they overpriced the product to get that result. Is this product review negative?
Options: 1. Yes; 2. No;
Answer:",[No Retrieval]1.[Utility:5],,flan_v2_43592,flan_v2
"Fill in the response. A 2 person conversation:
 + What is the main artistic work of  ⁇ lvaro Zardoni?
 + Álvaro Zardoni Álvaro Zardoni (born January 4, 1964) is a Mexican sculptor and architect who has been a member of the Salón de la Plástica Mexicana since 2006.
 + Did he formally train in any school or university?
 + Although he studied painting and drawing in the 1970s and 1980s, he is a self-taught sculptor who began showing his work regularly in 2000.
 + Are there any other interesting aspects about this article?
 + Since then, he has had over thirty individual exhibitions, twenty private showings and his work has appeared in over 100 collective exhibitions.
 + What are some of his paitings?
 + He specializes in small bronze sculptures which focus on the human face, which is almost always male, expressing something emotional and/or psychological.
 + What are some of his other pieces of art?
 + ","[No Retrieval]Objects, often common, are added to the piece to reinforce the main theme of the work, for example the addition of coins on the foreheads of pieces of the Cyclops collection.[Utility:5]",,flan_v2_97616,flan_v2
"Given the task definition and input, reply with output. In this task, you're given the middle and ending of a three-part story. Your job is to complete the short story by writing a probable beginning of the story. Generated sentences must be short, have fewer than 10 words, and be simple as if narrating to a child. Avoid using any irrelevant extra information when creating the beginning, and use names (e.g. Jack, Barbara,...) instead of pronouns (e.g. he / she) wherever possible.

Middle: Bobby's neighbor ask him to mows his grass. Ending: Many people appreciate the mowing that Bobby does.",[No Retrieval]Bobby likes to mow grass.[Utility:5],,flan_v2_77581,flan_v2
"If this is the response, what came before? Response Uganda is one of the three countries where randomized controlled trials were conducted to determine whether voluntary male circumcision reduces transmission of HIV from women to men.","[a].[b].[Continue to Use Evidence]Sexual health in Uganda is affected by the prevalence of HIV, sexually transmitted infections (STI), poor health-seeking behaviours regarding STIs, violence, and female genital mutilation that affect female sexuality in isolated communities in the north-eastern part of the country.
[a].[No Retrieval]Are there any other interesting aspects about this article?
[b].[Continue to Use Evidence]Prevention now includes voluntary male circumcision, although sexual behaviors among circumcised men need more understanding.
[a].[Continue to Use Evidence]How many people are infected with HIV?
[b].[Continue to Use Evidence]As of April 2018, there was an estimated 1,350,000 people living with HIV/AIDS in Uganda.
[a].[No Retrieval]Is there any hope for a cure?
[b].[Utility:5]",,flan_v2_97497,flan_v2
"Title: DOA Review: We received the neat receipt scanner for Christmas to be used with our business. I spent 2 hours installing the software: updating the already out of date software, reinstalling because the first install and following update did not work and finally installing it cleanly from their website. This was on top of several restarts some of which interrupted the install process that was still ongoing. I then spent almost another hour trying to log in to their ""cloud"" using the email I gave them. I never gave a password but it still showed my email address as registered so I reset my password then it asked me a security question that was blank that I had not given an answer to because the setup had failed earlier. Once all the other issues were finally worked out the supposed document scanner would do nothing but return blank scans of the page. Returning for a refund... Is the review positive or negative?
Answer:",[No Retrieval]Negative[Utility:5],,flan_v2_45613,flan_v2
"Teacher:In this task, you are given a sentence in the Japanese language and your task is to convert it into the English language. In translation, keep numbers as it is and make it sentence case (capitalize only the first word of each sentence and noun).
Teacher: Now, understand the problem? Solve this instance: :(g)この条項は、合法性についてだけでなく、以下の他の２つの要因についても区別する結果となる：日本人の父親による合法的な認知を生前に持たないいかなる日本人でない子ども、そして日本人の母親を持つ認知されないいかなる子どもでも、この条例により日本国籍を付与されることができる。
Student:","[No Retrieval]:(g) this provision results in distinctions not only as to legitimacy but also as to two other factors: any non-Japanese child without legitimacy acknowledged before its birth by a Japanese father, and any child without legitimacy born to a Japanese mother, can acquire Japanese nationality provided by this Act.[Utility:5]",,flan_v2_72511,flan_v2
"Definition: The input is a sentence. The sentence includes an emotion. The goal of the task is to classify the emotion in the sentence to one of the classes: 'fear', 'joy', 'anger', 'sadness'. The emotion mainly depends on the adverb within the sentence.
Input: This woman made me feel terrified.",[No Retrieval]fear[Utility:5],,flan_v2_76544,flan_v2
"Please answer the following question: Read the bio below and try to give details on babe martin 's:    - finalteam     - finalyear     - death place     - statlabel     - position     - statvalue     - throws     - debutteam     - bats     - debutdate     - death date       - birth date     - finaldate     - name     - birth place     - debutyear     Bio: `` babe '' martin -lrb- march 28 , 1920 -- august 1 , 2013 -rrb- was a major league baseball outfielder for the st. louis browns -lrb- 1944 -- 46 and 1953 -rrb- and a catcher for the boston red sox -lrb- 1948 -- 49 -rrb- . martin was born boris michael martinovich in seattle , washington to serbian immigrant parents . the martinovich family moved to zeigler , illinois when babe was year old and subsequently moved to st. louis , missouri after the death of babe 's father . he started his professional baseball career in 1940 and had a breakout year in 1944 with the toledo mud hens , batting .350 in 114 games . the following season , he joined the major league browns . he hit poorly and was sent back down to the minors . martin retired in 1954 . in 69 major league games , he had 2 home runs , 18 rbi , and a .214 batting average . in later years , martin still held a grudge against one-armed outfielder pete gray , who was a teammate in 1945 . `` the worst thing that happened to our ballclub in 1945 , which we should have won the pennant , was pete gray , '' he said . `` and honestly i think if we had n't had pete ... we could have won the pennant in 1945 . '' although martin 's batting average that season was actually 18 points lower than gray 's , martin was referring to pete gray 's fielding ability . because gray only had one arm , his throws back into the infield were slowed because he had to remove his glove from his one hand , get the ball , and throw into the infield . this slowed him down and allowed runners to advance more easily than they otherwise would have . the browns finished in third place in the american league , six games behind the detroit tigers .
A:","[Retrieval]<paragraph>Babe Martin
Babe Martin Boris Michael Martin (March 28, 1920 – August 1, 2013) was a Major League Baseball outfielder for the St. Louis Browns (1944–46 and 1953) and a catcher for the Boston Red Sox (1948–49). He was nicknamed 'Babe'. Martin was born Boris Michael Martinovich in Seattle, Washington to Serbian immigrant parents. The Martinovich family then moved to Zeigler, Illinois, when Babe was a boy, and subsequently moved to St. Louis, Missouri after the death of Babe's father. He started his professional baseball career in 1940 and had a breakout year in 1944 with the Toledo Mud Hens, batting .350</paragraph>[Relevant]- finalteam is st. louis browns- finalyear is 1953- death place is tucson , arizona- statlabel is batting average home runs runs batted in- position is left fielder / first baseman / catcher- statvalue is .214 2 18- throws is right- debutteam is st. louis browns- bats is right- debutdate is september 25- death date is august 1 , 2013 -lrb- aged 93 -rrb-- birth date is march 28 , 1920- finaldate is july[Fully supported][Continue to Use Evidence]1- name is babe martin- birth place is seattle , washington- debutyear is 1944[Utility:5]",,flan_v2_41572,flan_v2
"Q: Solve -1589 = 1448*l + 6255 + 6636 for l.

A: -10


Q: Solve:
Solve 0 = 34*g - 33*g - 1 for g.

A: 1


Question: What is the solution?

Solve -2527*v - 195 = -2514*v for v.

Answer: -15


Problem: Math Problem
Solve 258 - 485 = 2*b - 255 for b.

A: 14


Question:
Solve 8 = -3029*m + 3021*m for m..

Answer:
-1


Q: Solve -2067 = 976*a - 287*a for a.

A:","[Retrieval]<paragraph>Location arithmetic
addition: For example, to add 157 = acdeh and 230 = bcfgh, join the numerals end-to-end: rearrange the digits of the previous result (because the digits of acdehbcfgh are not in ascending order): and abbreviate the previous result: The final result, abhi, equals 387 (abhi = 2 + 2 + 2 + 2 = 1 + 2 + 128 + 256 = 387); this is the same result achieved by adding 157 and 230 in decimal notation. Subtraction is also intuitive, but may require expanding abbreviated forms to extended forms to perform borrows. Write the minuend (the largest number you</paragraph>[Irrelevant]-3[Utility:5]",,flan_v2_16469,flan_v2
Write down the solution for this math problem: Solve -7*g + 9*g = 8 for g.,[No Retrieval]4[Utility:5],,flan_v2_21842,flan_v2
"Problem: Given the question: Here's a complex question that requires someone to reason about the input, can you answer it? Barbara Rosenkranz lost the 2010 Austria presidential election to a politician that previously served as Minister of Science during what years?
++++++++++++++++++++++++++++++++
The answer is:
1983 to 1987


Problem: Given the question: Here's a complex question that requires someone to reason about the input, can you answer it? James L. Terry graduated from an educational institution that was established on January 8, 2013 by who?
++++++++++++++++++++++++++++++++
The answer is:
University System of Georgia Board of Regents


Problem: Given the question: Here's a complex question that requires someone to reason about the input, can you answer it? Which concerned judicial review, South Dakota v. Dole or Marbury v. Madison?
++++++++++++++++++++++++++++++++
The answer is:",[No Retrieval]Marbury v. Madison[Utility:5],,flan_v2_64421,flan_v2
"In this task, you will be shown a short story with a beginning, two potential middles, and an ending. Your job is to choose the middle statement that makes the story incoherent / implausible by indicating 1 or 2 in the output. If both sentences are plausible, pick the one that makes less sense.

Example input: Beginning: Butch had a really old computer. Middle 1: Butch decided to order a new computer online. Middle 2: Butch noticed that a storm was approaching to his town. Ending: It arrived and Butch was much happier.
Example output: 2
Example explanation: People generally don't feel happy about natural disasters like storms. Therefore, we choose 2 in this case.
Q: Beginning: Sal loved to go fishing. Middle 1: He caught tuna fish by the dozen. Middle 2: He caught sardines by the dozen. Ending: People loved his sardines and were willing to pay large sums for them!
A:",[No Retrieval]1[Utility:5],,flan_v2_85947,flan_v2
"Man with backpack walking on a barricaded street does not imply he is at a protest.
The question and answer are below.
Given the sentence ""Man with backpack walking on a barricaded street."" can we conclude that ""The man carries a backpack to the protest.""?
Options:
- yes
- it is not possible to tell
- no
it is not possible to tell

The dogs play in the grass because they are near the wall.
The question and answer are below.
Premise: ""Two tan dogs play on the grass near the wall.""
Hypothesis: ""Two dogs play in the grass.""
Do we know that the hypothesis entailed by the premise?
yes

Wearing a black shorts could be different than in black shorts; as in she could be wearing black shorts on a different part of her body than being in them.
The question and answer are below.","[No Retrieval]Given the sentence ""A young girl in black shorts is putting her face in water spray from a fountain.""[No Retrieval]can we conclude that ""A young girl wearing a black shorts.""?
[No Retrieval]Options:
- yes
- it is not possible to tell
- no
it is not possible to tell[Utility:5]",,flan_v2_96346,flan_v2
"In this task, you are given two natural language statements with similar wording. You must choose the statement that makes less sense based on common sense knowledge. A '
' separates the statements. Use ""first"" or ""second"" to indicate which sentence makes less sense.

Ex Input:
He floated a green fence to space.
He floated a red balloon to space.

Ex Output:
first


Ex Input:
Johny eats dinner out of a bottle
Johny eats dinner out of a plate

Ex Output:
first


Ex Input:
He built a house with the help of wood
He built a house with the help of water

Ex Output:","[No Retrieval]second


[Utility:5]",,flan_v2_82101,flan_v2
"Question and answer: Q: Can we conclude from ""The athlete is wearing protective gear."" that ""A dolphin is searching for sunken treasure.""?
Options:
- yes
- no
- it is not possible to tell
A: no
Explanation: A dolphin cannot be considered an athlete. An athlete's protective gear would not be appropriate for searching for sunken treasure.


Question and answer: Q: Premise: ""A group of twenty or so people posing for a picture.""
Hypothesis: ""People are standing together.""
Do we know that the hypothesis entailed by the premise?
A: yes
Explanation: A group of twenty or so people are standing together and posing for a picture.


Question and answer: Q: Given the sentence ""A man with a pensive look on his face shave off his beard."" can we conclude that ""A clean-shaven man looks like he regrets shaving off his beard.""?
Options:
- yes
- it is not possible to tell
- no
A: it is not possible to tell
Explanation:",[No Retrieval]A pensive look does not imply that a person regrets shaving.[Utility:5],,flan_v2_95461,flan_v2
